,smrbci,dynamical,exponential
0,"(2.6386792056909414e-13, 1.0)","(0.37274694442749023, 0.6272530555725098)","(0.287075400352478, 0.712924599647522)"
1,"(4.796742430340784e-13, 1.0)","(0.3615645468235016, 0.638435423374176)","(0.2619909942150116, 0.738008975982666)"
2,"(1.0105746101052304e-11, 1.0)","(0.3507176339626312, 0.6492823958396912)","(0.23698213696479797, 0.7630178928375244)"
3,"(1.8018585755397165e-12, 1.0)","(0.3401961028575897, 0.6598038673400879)","(0.2119716852903366, 0.7880282998085022)"
4,"(2.8596540418849084e-14, 1.0)","(0.3299902379512787, 0.6700097322463989)","(0.1868828982114792, 0.8131170868873596)"
5,"(2.6561131766245083e-13, 1.0)","(0.32009053230285645, 0.6799094676971436)","(0.16164036095142365, 0.8383596539497375)"
6,"(3.2974165065091654e-11, 1.0)","(0.31048783659935, 0.6895121932029724)","(0.13617099821567535, 0.8638290166854858)"
7,"(4.3252298444207415e-12, 1.0)","(0.30117321014404297, 0.698826789855957)","(0.11040523648262024, 0.8895947933197021)"
8,"(5.884604001998861e-12, 1.0)","(0.292138010263443, 0.7078619599342346)","(0.08427831530570984, 0.9157216548919678)"
9,"(1.4265280796899038e-11, 1.0)","(0.2833738923072815, 0.7166261076927185)","(0.057731859385967255, 0.9422681331634521)"
10,"(5.643709805047692e-11, 1.0)","(0.27487269043922424, 0.7251273393630981)","(0.03071572631597519, 0.9692842960357666)"
11,"(2.703349176458314e-11, 1.0)","(0.2666265070438385, 0.7333734631538391)","(0.0031900927424430847, 0.9968098998069763)"
12,"(4.124404984207075e-11, 1.0)","(0.258627712726593, 0.741372287273407)","(0.0, 1.0)"
13,"(9.532036271409083e-11, 1.0)","(0.25086888670921326, 0.7491310834884644)","(0.0, 1.0)"
14,"(1.7606315017015817e-10, 1.0)","(0.2433428317308426, 0.7566571831703186)","(0.0, 1.0)"
15,"(4.487239399497689e-11, 1.0)","(0.2360425591468811, 0.7639574408531189)","(0.0, 1.0)"
16,"(1.1206942318597868e-10, 1.0)","(0.2289612889289856, 0.7710387110710144)","(0.0, 1.0)"
17,"(2.533107335001006e-10, 1.0)","(0.22209244966506958, 0.7779075503349304)","(0.0, 1.0)"
18,"(4.154766114483621e-11, 1.0)","(0.21542969346046448, 0.7845703363418579)","(0.0, 1.0)"
19,"(1.506855230870574e-11, 1.0)","(0.20896680653095245, 0.7910332083702087)","(0.0, 1.0)"
20,"(1.5696461491687685e-11, 1.0)","(0.20269781351089478, 0.7973021864891052)","(0.0, 1.0)"
21,"(1.4309822857910826e-12, 1.0)","(0.19661687314510345, 0.8033831119537354)","(0.0, 1.0)"
22,"(7.971187598876384e-11, 1.0)","(0.1907183825969696, 0.8092816472053528)","(0.0, 1.0)"
23,"(4.722942523183171e-12, 1.0)","(0.1849968284368515, 0.8150031566619873)","(0.0, 1.0)"
24,"(7.390323596145887e-12, 1.0)","(0.17944693565368652, 0.8205530643463135)","(0.0, 1.0)"
25,"(1.2643310010052033e-11, 1.0)","(0.1740635335445404, 0.825936496257782)","(0.0, 1.0)"
26,"(5.181068768456143e-11, 1.0)","(0.1688416302204132, 0.8311583995819092)","(0.0, 1.0)"
27,"(1.8791032965759236e-11, 1.0)","(0.16377638280391693, 0.8362236022949219)","(0.0, 1.0)"
28,"(1.9180847882216412e-11, 1.0)","(0.1588630974292755, 0.8411369323730469)","(0.0, 1.0)"
29,"(1.815713551733822e-11, 1.0)","(0.15409721434116364, 0.8459028005599976)","(0.0, 1.0)"
30,"(1.1799260353495544e-11, 1.0)","(0.14947429299354553, 0.8505256772041321)","(0.0, 1.0)"
31,"(1.3796265345422665e-11, 1.0)","(0.14499007165431976, 0.855009913444519)","(0.0, 1.0)"
32,"(1.410013382094344e-12, 1.0)","(0.14064037799835205, 0.859359622001648)","(0.0, 1.0)"
33,"(1.572551442362291e-12, 1.0)","(0.13642117381095886, 0.8635788559913635)","(0.0, 1.0)"
34,"(2.4090359698400454e-13, 1.0)","(0.13232854008674622, 0.8676714897155762)","(0.0, 1.0)"
35,"(1.7513224757122886e-13, 1.0)","(0.12835867702960968, 0.8716413378715515)","(0.0, 1.0)"
36,"(5.093259798291672e-13, 1.0)","(0.12450792640447617, 0.8754920959472656)","(0.0, 1.0)"
37,"(4.065776307207031e-13, 1.0)","(0.12077268958091736, 0.8792272806167603)","(0.0, 1.0)"
38,"(1.6070820889335646e-12, 1.0)","(0.11714951694011688, 0.8828504681587219)","(0.0, 1.0)"
39,"(8.222235555171292e-14, 1.0)","(0.11363503336906433, 0.8863649964332581)","(0.0, 1.0)"
40,"(2.541408923584232e-11, 1.0)","(0.11022598296403885, 0.8897740244865417)","(0.0, 1.0)"
41,"(9.748923890384731e-12, 1.0)","(0.10691920667886734, 0.8930807709693909)","(0.0, 1.0)"
42,"(8.409752061400155e-11, 1.0)","(0.10371163487434387, 0.8962883353233337)","(0.0, 1.0)"
43,"(1.1275370556933922e-13, 1.0)","(0.10060028731822968, 0.8993996977806091)","(0.0, 1.0)"
44,"(5.6618834620714154e-11, 1.0)","(0.09758228063583374, 0.9024177193641663)","(0.0, 1.0)"
45,"(7.865917119043164e-12, 1.0)","(0.09465482085943222, 0.9053452014923096)","(0.0, 1.0)"
46,"(2.4844362678244636e-10, 1.0)","(0.09181517362594604, 0.908184826374054)","(0.0, 1.0)"
47,"(2.5552845429877014e-13, 1.0)","(0.0890607237815857, 0.9109392762184143)","(0.0, 1.0)"
48,"(2.8815776154100803e-11, 1.0)","(0.08638890832662582, 0.913611114025116)","(0.0, 1.0)"
49,"(1.0668966578253336e-11, 1.0)","(0.08379723876714706, 0.9162027835845947)","(0.0, 1.0)"
50,"(7.49795364685113e-11, 1.0)","(0.0812833234667778, 0.9187166690826416)","(0.0, 1.0)"
51,"(1.4975395055960572e-12, 1.0)","(0.0788448303937912, 0.9211551547050476)","(0.0, 1.0)"
52,"(5.631981426362787e-13, 1.0)","(0.0764794871211052, 0.9235205054283142)","(0.0, 1.0)"
53,"(2.533035847046561e-12, 1.0)","(0.07418510317802429, 0.9258149266242981)","(0.0, 1.0)"
54,"(3.747835375378372e-11, 1.0)","(0.07195955514907837, 0.9280404448509216)","(0.0, 1.0)"
55,"(9.874554507405264e-10, 1.0)","(0.06980076432228088, 0.9301992058753967)","(0.0, 1.0)"
56,"(4.2772693720216637e-10, 1.0)","(0.06770674884319305, 0.9322932362556458)","(0.0, 1.0)"
57,"(7.672656399115851e-10, 1.0)","(0.06567554920911789, 0.9343244433403015)","(0.0, 1.0)"
58,"(1.4188436203710353e-08, 1.0)","(0.06370528042316437, 0.9362947344779968)","(0.0, 1.0)"
59,"(6.53096458336222e-06, 0.9999934434890747)","(0.06179432198405266, 0.9382056593894958)","(0.0, 1.0)"
60,"(3.933235348085873e-06, 0.9999960660934448)","(0.05994061008095741, 0.9400593638420105)","(0.0, 1.0)"
61,"(2.454978300647781e-07, 0.9999997615814209)","(0.05814240127801895, 0.9418575763702393)","(0.0, 1.0)"
62,"(1.7506150470580906e-05, 0.999982476234436)","(0.056398656219244, 0.9436013698577881)","(0.0, 1.0)"
63,"(2.4369146558456123e-05, 0.9999756217002869)","(0.05470743030309677, 0.945292592048645)","(0.0, 1.0)"
64,"(0.000663679325953126, 0.999336302280426)","(0.05308612063527107, 0.9469138979911804)","(0.0, 1.0)"
65,"(1.6795210910913738e-07, 0.9999998211860657)","(0.05149354040622711, 0.9485064744949341)","(0.0, 1.0)"
66,"(6.630994420220304e-08, 0.9999999403953552)","(0.049948740750551224, 0.9500512480735779)","(0.0, 1.0)"
67,"(2.5525162428152726e-08, 1.0)","(0.0484502799808979, 0.9515497088432312)","(0.0, 1.0)"
68,"(3.049996166737401e-07, 0.9999997019767761)","(0.04699677973985672, 0.9530032277107239)","(0.0, 1.0)"
69,"(3.043005625258388e-09, 1.0)","(0.045586880296468735, 0.954413115978241)","(0.0, 1.0)"
70,"(1.7294777165943742e-08, 1.0)","(0.04421927407383919, 0.9557807445526123)","(0.0, 1.0)"
71,"(1.3898877604390236e-09, 1.0)","(0.0428926981985569, 0.9571073055267334)","(0.0, 1.0)"
72,"(3.709556883890741e-09, 1.0)","(0.04160591959953308, 0.9583941102027893)","(0.0, 1.0)"
73,"(5.762156862765266e-10, 1.0)","(0.040357742458581924, 0.959642231464386)","(0.0, 1.0)"
74,"(2.378730823426878e-10, 1.0)","(0.03914701193571091, 0.9608529806137085)","(0.0, 1.0)"
75,"(1.7821342179757949e-09, 1.0)","(0.03797260299324989, 0.962027370929718)","(0.0, 1.0)"
76,"(7.863620171688623e-11, 1.0)","(0.036833424121141434, 0.9631665945053101)","(0.0, 1.0)"
77,"(6.336598780409819e-12, 1.0)","(0.035728421062231064, 0.964271605014801)","(0.0, 1.0)"
78,"(3.2668638627608715e-11, 1.0)","(0.034656573086977005, 0.9653434157371521)","(0.0, 1.0)"
79,"(2.276395218159255e-11, 1.0)","(0.03361687436699867, 0.9663830995559692)","(0.0, 1.0)"
80,"(1.9371082429081588e-12, 1.0)","(0.03260837122797966, 0.9673916101455688)","(0.0, 1.0)"
81,"(2.7152626392960844e-13, 1.0)","(0.03163012117147446, 0.9683699011802673)","(0.0, 1.0)"
82,"(2.1926358569502452e-13, 1.0)","(0.030681217089295387, 0.9693188071250916)","(0.0, 1.0)"
83,"(1.736868244714418e-12, 1.0)","(0.029760781675577164, 0.9702392220497131)","(0.0, 1.0)"
84,"(6.870194517449857e-13, 1.0)","(0.02886795811355114, 0.9711320400238037)","(0.0, 1.0)"
85,"(3.7892697877031645e-13, 1.0)","(0.028001921251416206, 0.9719980955123901)","(0.0, 1.0)"
86,"(3.918551247372726e-12, 1.0)","(0.027161864563822746, 0.9728381633758545)","(0.0, 1.0)"
87,"(4.014513060087571e-13, 1.0)","(0.02634700946509838, 0.9736530184745789)","(0.0, 1.0)"
88,"(2.9988242791767483e-12, 1.0)","(0.025556599721312523, 0.9744433760643005)","(0.0, 1.0)"
89,"(1.91739887855924e-10, 1.0)","(0.024789901450276375, 0.9752100706100464)","(0.0, 1.0)"
90,"(5.079167642030313e-10, 1.0)","(0.02404620498418808, 0.9759538173675537)","(0.0, 1.0)"
91,"(8.571353626862788e-10, 1.0)","(0.023324821144342422, 0.9766751527786255)","(0.0, 1.0)"
92,"(1.6121446191896815e-11, 1.0)","(0.02262507565319538, 0.9773749113082886)","(0.0, 1.0)"
93,"(2.445911806425727e-10, 1.0)","(0.021946324035525322, 0.9780536890029907)","(0.0, 1.0)"
94,"(6.786948780757029e-10, 1.0)","(0.021287934854626656, 0.9787120819091797)","(0.0, 1.0)"
95,"(8.913823568157397e-10, 1.0)","(0.020649299025535583, 0.9793506860733032)","(0.0, 1.0)"
96,"(1.684686244673994e-11, 1.0)","(0.020029820501804352, 0.9799701571464539)","(0.0, 1.0)"
